GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Average trip speed(whilst moving only)(km/h),Engine Coolant Temperature(å¡C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel used (trip)(gal),Fuel Level (From Engine ECU)(%),Fuel Rate (direct from ECU)(L/m),Hybrid Battery Charge (%)(%),Intake Manifold Pressure(psi),Speed (OBD)(km/h),Speed (GPS)(km/h),Trip time(whilst moving)(s)
-,16:08.0,-,-,-,-,-,-,-0.34476504,-8.04451752,4.96078587,-0.01694238,-0.03433917,-0.03319179,-0.82100856,0.40666285,-,13.83463383,-,81,0,0,0,-,0.00009808,-,-,-,14.50377369,29,-,0
-,16:08.5,-,-,-,-,-,-,-0.35434186,-8.06367111,4.97036266,-0.01473355,-0.0344972,-0.03416802,-0.82198477,0.40666285,-,13.83463383,-,81,0,0,0,-,0.00010004,-,-,-,14.50377369,29,-,0
-,16:09.1,-,-,-,-,-,-,-0.35434186,-8.06367111,4.97036266,-0.01473355,-0.03359432,-0.03612047,-0.82296103,0.40666285,-,13.83463383,-,81,0,0,0,-,0.00010224,-,-,-,14.50377369,30,-,0
-,16:09.5,-,-,-,-,-,-,-0.34476504,-8.07324791,4.94163227,-0.01547009,-0.0347822,-0.03514424,-0.82100856,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00010428,-,-,-,14.50377369,30,-,0
-,16:10.0,-,-,-,-,-,-,-0.33518824,-8.08282471,4.96078587,-0.01365364,-0.03276229,-0.03612047,-0.82393724,0.40471038,-,13.83463383,-,81,0,0,0,-,0.00010428,-,-,-,14.50377369,30,-,0
-,16:10.5,-,-,-,-,-,-,-0.36391866,-8.06367111,4.96078587,-0.01520807,-0.03731689,-0.0370967,-0.82198477,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00010635,-,-,-,14.50377369,31,-,0
-,16:11.0,-,-,-,-,-,-,-0.36391866,-8.07324791,4.97036266,-0.01386595,-0.03328944,-0.03904916,-0.82198477,0.40666285,-,13.83463383,-,81,0,0,0,-,0.00010844,-,-,-,14.50377369,32,-,0
-,16:11.5,-,-,-,-,-,-,-0.37349546,-8.06367111,4.94163227,-0.01619089,-0.03486125,-0.03807293,-0.82198477,0.40373418,-,13.83463383,-,81,0,0,0,-,0.00011037,-,-,-,14.50377369,32,-,0
-,16:12.0,-,-,-,-,-,-,-0.37349546,-8.05409431,4.96078587,-0.01600075,-0.03328944,-0.03904916,-0.82198477,0.40666285,-,13.83463383,-,81,0,0,0,-,0.0001122,-,-,-,14.50377369,33,-,0
-,16:12.5,-,-,-,-,-,-,-0.40222588,-8.06367111,4.95120907,-0.01556087,-0.03498922,-0.03807293,-0.82003236,0.40666285,-,13.83463383,-,81,0,0,0,-,0.0001122,-,-,-,14.50377369,32,-,0
